Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-02 00:00:00-05:00,186.03307200647276,187.31538170646215,182.79253333369908,184.53208923339844,82488700,0.0,0.0
2024-01-03 00:00:00-05:00,183.1205861355978,184.77068298489988,182.3352923192933,183.15040588378906,58414500,0.0,0.0
2024-01-04 00:00:00-05:00,181.06292931922462,181.99732186004985,179.80051955406512,180.82437133789062,71983600,0.0,0.0
2024-01-05 00:00:00-05:00,180.90387243418792,181.6692660827433,179.09472708075188,180.09869384765625,62303300,0.0,0.0
2024-01-08 00:00:00-05:00,181.0032684531674,184.49233019548157,180.41679326133186,184.4525604248047,59144500,0.0,0.0
2024-01-09 00:00:00-05:00,182.8223597284498,184.04501481546237,181.63945924679223,184.0350799560547,42841800,0.0,0.0
2024-01-10 00:00:00-05:00,183.24976627734006,185.28751930959103,182.8223247210693,185.0787811279297,46792900,0.0,0.0
2024-01-11 00:00:00-05:00,185.42671870400414,185.93368472067908,182.52414714521402,184.48239135742188,49128400,0.0,0.0
2024-01-12 00:00:00-05:00,184.9495734055796,185.6255229866903,184.08477050382692,184.81040954589844,40444700,0.0,0.0
2024-01-16 00:00:00-05:00,181.07285998444632,183.16031793652851,179.85018978995151,182.53408813476562,65603000,0.0,0.0
2024-01-17 00:00:00-05:00,180.18817865322478,181.83826018866833,179.2239664331644,181.58975219726562,47317400,0.0,0.0
2024-01-18 00:00:00-05:00,184.97940747954695,188.01120805146246,184.72096462518135,187.50425720214844,78005800,0.0,0.0
2024-01-19 00:00:00-05:00,188.20007624137466,190.8044351704297,187.693125392904,190.41676330566406,68741000,0.0,0.0
2024-01-22 00:00:00-05:00,191.15234200232317,194.16425751836653,191.11257223144145,192.73284912109375,60133900,0.0,0.0
2024-01-23 00:00:00-05:00,193.8561183903394,194.58175747905844,192.67321792314553,194.01515197753906,42355600,0.0,0.0
2024-01-24 00:00:00-05:00,194.25371040083746,195.20798769039715,193.18015413797895,193.33920288085938,53631300,0.0,0.0
2024-01-25 00:00:00-05:00,194.0549059471631,195.0986424607324,191.95749806154728,193.01116943359375,54822100,0.0,0.0
2024-01-26 00:00:00-05:00,193.11058683739938,193.59765277461963,190.79449062577763,191.27162170410156,44594000,0.0,0.0
2024-01-29 00:00:00-05:00,190.8640821459055,191.05295065599338,188.44859162482356,190.58575439453125,47145600,0.0,0.0
2024-01-30 00:00:00-05:00,189.80047228297695,190.6553404086777,186.35118003362723,186.9177703857422,55859400,0.0,0.0
2024-01-31 00:00:00-05:00,185.92374345342654,185.98339811587047,183.24981004460298,183.29949951171875,55467800,0.0,0.0
2024-02-01 00:00:00-05:00,182.8919451500293,185.83427124755644,182.72296153753896,185.74481201171875,64885400,0.0,0.0
2024-02-02 00:00:00-05:00,178.78658786144558,186.21200777158808,178.18022776276848,184.7408447265625,102518000,0.0,0.0
2024-02-05 00:00:00-05:00,187.02710222804,188.120543422021,184.73089088840356,186.55990600585938,69668800,0.0,0.0
2024-02-06 00:00:00-05:00,185.74481710103248,188.18019242781668,185.6553578627436,188.17025756835938,43490800,0.0,0.0
2024-02-07 00:00:00-05:00,189.5022417883465,189.9097985097057,187.48435823433906,188.2795867919922,53439000,0.0,0.0
2024-02-08 00:00:00-05:00,188.25972761232654,188.4088263513659,186.23190892276523,187.1961212158203,40962000,0.0,0.0
2024-02-09 00:00:00-05:00,187.76339117385248,189.09710508715864,187.11645206865865,187.96246337890625,45155200,0.24,0.0
2024-02-12 00:00:00-05:00,187.53448242231033,187.78330749959082,185.91213805857674,186.27044677734375,41781900,0.0,0.0
2024-02-13 00:00:00-05:00,184.89694454758455,185.33487911795885,182.64755610649428,184.1703643798828,56529500,0.0,0.0
2024-02-14 00:00:00-05:00,184.44907598078342,184.65808055839094,181.5826059912504,183.28456115722656,54630500,0.0,0.0
2024-02-15 00:00:00-05:00,182.6874004528496,183.62298530484992,180.49774250244775,182.99594116210938,65434500,0.0,0.0
2024-02-16 00:00:00-05:00,182.5579852711476,183.98127264473297,180.816209688257,181.4532012939453,49701400,0.0,0.0
2024-02-20 00:00:00-05:00,180.93562562036504,181.57261717237213,179.1540448566047,180.7067108154297,53665600,0.0,0.0
2024-02-21 00:00:00-05:00,181.08496152111414,182.03049388623003,179.81097819372195,181.4631805419922,41529700,0.0,0.0
2024-02-22 00:00:00-05:00,182.61769287128237,184.09074823448796,181.60249751065342,183.50350952148438,52292200,0.0,0.0
2024-02-23 00:00:00-05:00,184.1405042298665,184.17036202409395,181.37357059288817,181.66221618652344,45119700,0.0,0.0
2024-02-26 00:00:00-05:00,181.38353517321784,181.90108040317875,179.8009961275691,180.30860900878906,40867400,0.0,0.0
2024-02-27 00:00:00-05:00,180.24888975946536,183.05562869813585,178.71611879819,181.77169799804688,54318900,0.0,0.0
2024-02-28 00:00:00-05:00,181.6522565198894,182.25939032452453,179.28345207788615,180.5673828125,48953900,0.0,0.0
2024-02-29 00:00:00-05:00,180.41811896420185,181.7120126019674,178.68629069330834,179.9005584716797,136682600,0.0,0.0
